fixture_id,game,score,ko_time,snap,pulled_at_utc,minutes_after_ko,team,role,possession,passes_total,passes_accuracy,shots_total,shots_on_target,shots_insidebox,corners,fouls,yellow_cards,red_cards,offsides,xg
1391112,Getafe vs Athletic Club,2-0,12:00,snap1,14:00,120,Getafe,home,32,227,61,10,6,8,4,11,3,0,3,2.14
1391112,Getafe vs Athletic Club,2-0,12:00,snap1,14:00,120,Athletic Club,away,68,520,81,4,0,3,3,11,1,0,1,0.37
1391112,Getafe vs Athletic Club,2-0,12:00,snap2,14:30,150,Getafe,home,32,227,61,10,6,,4,11,3,0,3,
1391112,Getafe vs Athletic Club,2-0,12:00,snap2,14:30,150,Athletic Club,away,68,520,81,4,0,,3,11,1,0,1,
1391112,Getafe vs Athletic Club,2-0,12:00,snap3,15:00,180,Getafe,home,32,233,61,10,6,,4,11,3,0,3,
1391112,Getafe vs Athletic Club,2-0,12:00,snap3,15:00,180,Athletic Club,away,68,528,81,5,0,,3,11,1,0,1,
1391112,Getafe vs Athletic Club,2-0,12:00,snap4,15:30,210,Getafe,home,32,233,61,10,6,,4,11,3,0,3,
1391112,Getafe vs Athletic Club,2-0,12:00,snap4,15:30,210,Athletic Club,away,68,528,81,5,0,,3,11,1,0,1,
1391112,Getafe vs Athletic Club,2-0,12:00,snap5,16:00,240,Getafe,home,32,233,61,10,6,,4,11,3,0,3,
1391112,Getafe vs Athletic Club,2-0,12:00,snap5,16:00,240,Athletic Club,away,68,528,81,5,0,,3,11,1,0,1,
1391118,Valencia vs Celta Vigo,2-3,14:15,snap1,16:15,120,Valencia,home,42,351,81,13,4,7,6,14,1,0,0,0.81
1391118,Valencia vs Celta Vigo,2-3,14:15,snap1,16:15,120,Celta Vigo,away,58,504,87,9,5,6,0,21,3,0,2,1.04
1391118,Valencia vs Celta Vigo,2-3,14:15,snap2,16:45,150,Valencia,home,42,351,81,13,4,,6,14,1,0,0,
1391118,Valencia vs Celta Vigo,2-3,14:15,snap2,16:45,150,Celta Vigo,away,58,504,87,9,5,,0,21,3,0,2,
1391118,Valencia vs Celta Vigo,2-3,14:15,snap3,17:15,180,Valencia,home,42,351,81,13,4,,6,14,1,0,0,
1391118,Valencia vs Celta Vigo,2-3,14:15,snap3,17:15,180,Celta Vigo,away,58,504,87,9,5,,0,21,3,0,2,
1391118,Valencia vs Celta Vigo,2-3,14:15,snap4,17:45,210,Valencia,home,42,351,81,13,4,,6,14,1,0,0,
1391118,Valencia vs Celta Vigo,2-3,14:15,snap4,17:45,210,Celta Vigo,away,58,504,87,9,5,,0,21,3,0,2,
1391117,Oviedo vs Sevilla,1-0,16:30,snap1,18:30,120,Oviedo,home,70,508,83,7,4,3,5,11,5,0,2,0.61
1391117,Oviedo vs Sevilla,1-0,16:30,snap1,18:30,120,Sevilla,away,30,209,60,9,0,7,9,12,3,1,1,0.65
1391109,Alaves vs Osasuna,2-2,19:00,snap1,21:00,120,Alaves,home,48,368,81,17,6,13,7,7,2,0,1,2.02
1391109,Alaves vs Osasuna,2-2,19:00,snap1,21:00,120,Osasuna,away,52,412,83,8,5,5,1,17,4,0,3,1.30
